"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-02-15","2019","02","15","","4.4","","-21.3","","-8.5","","26.5","","0.0","","","","","","7.3","","","","11","","32",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-02-16","2019","02","16","","5.2","","-6.6","","-0.7","","18.7","","0.0","","","","","","8.2","","","","29","","48",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-02-17","2019","02","17","","-5.6","","-17.6","","-11.6","","29.6","","0.0","","","","","","0.0","","","","30","","39",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-02-18","2019","02","18","","-7.0","","-23.4","","-15.2","","33.2","","0.0","","","","","","0.0","","","","29","","39",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-02-19","2019","02","19","","-9.5","","-16.7","","-13.1","","31.1","","0.0","","","","","","0.0","","","","31","","54",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-02-20","2019","02","20","","-6.8","","-20.2","","-13.5","","31.5","","0.0","","","","","","0.0","","","","28","","37",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-02-21","2019","02","21","","-2.0","","-15.8","","-8.9","","26.9","","0.0","","","","","","0.0","","","","27","","45",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-02-22","2019","02","22","","-1.0","","-15.8","","-8.4","","26.4","","0.0","","","","","","0.5","","","","31","","42",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-02-23","2019","02","23","","-1.7","","-16.8","","-9.3","","27.3","","0.0","","","","","","0.0","","","","31","","41",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-02-24","2019","02","24","","-1.2","","-17.3","","-9.3","","27.3","","0.0","","","","","","0.0","","","","10","","52",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-02-25","2019","02","25","","1.6","","-10.7","","-4.6","","22.6","","0.0","","","","","","4.6","","","","26","","58",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-02-26","2019","02","26","","-9.9","","-17.1","","-13.5","","31.5","","0.0","","","","","","0.0","","","","28","","80",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-02-27","2019","02","27","","-9.0","","-18.4","","-13.7","","31.7","","0.0","","","","","","0.0","","","","32","","71",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-02-28","2019","02","28","","-7.0","","-21.3","","-14.2","","32.2","","0.0","","","","","","0.0","","","","32","","46",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-03-01","2019","03","01","","0.3","","-16.9","","-8.3","","26.3","","0.0","","","","","","0.0","","","","23","","48",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-03-02","2019","03","02","","-0.4","","-17.7","","-9.1","","27.1","","0.0","","","","","","0.0","","","","7","","32",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-03-03","2019","03","03","","1.6","","-6.8","","-2.6","","20.6","","0.0","","","","","","0.6","","","","","M","","M"
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-03-04","2019","03","04","","-2.4","","-8.1","","-5.3","","23.3","","0.0","","","","","","0.0","","","","2","","42",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-03-05","2019","03","05","","-3.7","","-16.7","","-10.2","","28.2","","0.0","","","","","","0.0","","","","26","","37",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-03-06","2019","03","06","","-5.8","","-19.8","","-12.8","","30.8","","0.0","","","","","","0.0","","","","33","","35",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-03-07","2019","03","07","","-9.2","","-24.3","","-16.8","","34.8","","0.0","","","","","","0.0","","","","33","","39",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-03-08","2019","03","08","","-3.1","","-26.9","","-15.0","","33.0","","0.0","","","","","","0.0","","","","22","","50",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-03-09","2019","03","09","","0.0","","-18.5","","-9.3","","27.3","","0.0","","","","","","0.2","","","","30","","50",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-03-10","2019","03","10","","-0.1","","-22.5","","-11.3","","29.3","","0.0","","","","","","0.0","","","","15","","37",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-03-11","2019","03","11","","6.5","","-0.7","","2.9","","15.1","","0.0","","","","","","11.3","","","","23","","55",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-03-12","2019","03","12","","3.2","","-7.7","","-2.3","","20.3","","0.0","","","","","","0.0","","","","32","","41",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-03-13","2019","03","13","","5.1","","-10.4","","-2.7","","20.7","","0.0","","","","","","0.0","","","","24","","35",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-03-14","2019","03","14","","9.2","","-7.1","","1.1","","16.9","","0.0","","","","","","0.0","","","","18","","35",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-03-15","2019","03","15","","7.5","","1.7","","4.6","","13.4","","0.0","","","","","","3.7","","","","17","","48",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-03-16","2019","03","16","","8.4","","-4.1","","2.2","","15.8","","0.0","","","","","","0.9","","","","25","","63",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-03-17","2019","03","17","","-0.9","","-9.6","","-5.3","","23.3","","0.0","","","","","","0.0","","","","28","","54",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-03-18","2019","03","18","","-0.3","","-12.3","","-6.3","","24.3","","0.0","","","","","","0.0","","","","27","","41",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-03-19","2019","03","19","","0.1","","-16.2","","-8.1","","26.1","","0.0","","","","","","0.0","","","","32","","33",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-03-20","2019","03","20","","5.1","","-17.2","","-6.1","","24.1","","0.0","","","","","","0.0","","","","22","","39",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-03-21","2019","03","21","","8.9","","-6.8","","1.1","","16.9","","0.0","","","","","","0.0","","","","19","","50",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-03-22","2019","03","22","","4.6","","-1.9","","1.4","","16.6","","0.0","","","","","","23.2","","","","4","","58",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-03-23","2019","03","23","","4.5","","0.5","","2.5","","15.5","","0.0","","","","","","1.8","","","","30","","59",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-03-24","2019","03","24","","","M","","M","","M","","M","","M","","","","","","M","","","22","","45",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-03-25","2019","03","25","","","M","","M","","M","","M","","M","","","","","0.0","","","","25","","52",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-03-26","2019","03","26","","-0.1","","-11.3","","-5.7","","23.7","","0.0","","","","","","0.0","","","","27","","45",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-03-27","2019","03","27","","4.0","","-12.0","","-4.0","","22.0","","0.0","","","","","","0.0","","","","","M","","M"
